carrier,flights,avg_arr_delay,delayed_arrivals,cancelled,on_time_rate,cancellation_rate
AA,147443.0,16.279486369855803,38604.0,4476.0,0.7381767869617412,0.030357494082458983
DL,116199.0,7.575911260338751,23374.0,2112.0,0.7988450847253419,0.018175715797898433
WN,115389.0,6.420730560060208,26310.0,3566.0,0.7719886644307516,0.03090415897529227
UA,104791.0,10.146746730278851,21409.0,7225.0,0.7956981038447959,0.06894676069509786
AS,29057.0,9.952008182211557,6618.0,3457.0,0.7722407681453695,0.11897305296486217
NK,20415.0,9.684378268014541,5274.0,303.0,0.7416605437178545,0.014842027920646584
B6,19580.0,13.522219904026706,5565.0,334.0,0.7157814096016344,0.017058222676200205
F9,14379.0,14.719330722677109,3814.0,311.0,0.7347520689894986,0.021628764169970095
G4,8596.0,10.528209419077218,1869.0,193.0,0.7825732899022801,0.022452303396928806
HA,6576.0,10.664710424710425,1738.0,96.0,0.735705596107056,0.014598540145985401
