origin,dest,flights,avg_arr_delay,delayed_arrivals,cancelled,on_time_rate,cancellation_rate
OGG,HNL,1001.0,9.312563840653729,236.0,20.0,0.7642357642357642,0.01998001998001998
HNL,OGG,994.0,5.197745901639344,193.0,18.0,0.8058350100603622,0.018108651911468814
LAX,SFO,858.0,11.517791411042944,269.0,43.0,0.6864801864801865,0.05011655011655012
SFO,LAX,857.0,2.696078431372549,169.0,41.0,0.8028004667444574,0.047841306884480746
PHX,DEN,832.0,4.771039603960396,156.0,24.0,0.8125,0.028846153846153848
DEN,PHX,831.0,6.888331242158093,211.0,32.0,0.7460890493381468,0.03850782190132371
MCO,ATL,792.0,12.453045685279188,195.0,1.0,0.7537878787878788,0.0012626262626262627
ATL,MCO,792.0,9.421855146124523,189.0,4.0,0.7613636363636364,0.005050505050505051
LGA,ORD,789.0,10.54533152909337,173.0,49.0,0.7807351077313054,0.062103929024081114
ORD,LGA,789.0,19.962162162162162,234.0,48.0,0.7034220532319392,0.060836501901140684
